0081: 784615;
0066: 670098;
0047: 622807;
0073: 664202;
0090: 644303;
0099: 676308;
0034: 709350;
0083: 722368;
0039: 656612;
0089: 678578;
0058: 682711;
0029: 616372;
0053: 630368;
0030: 710987;
0086: 596196;
0042: 686221;
0014: 645890;
0087: 670186;
0040: 683667;
0041: 739513;
0061: 704993;
0072: 558039;
0008: 871980;
0038: 739870;
0057: 712914;
0020: 660220;
0046: 766632;
0051: 708856;
0023: 636371;
0095: 723710;
0067: 606026;
0098: 911197;
0082: 689122;
0074: 785116;
0024: 787424;
0007: 702215;
0000: 500221;
0001: 697227;
0037: 768116;
0079: 635741;
0091: 815899;
0011: 733765;
0017: 562286;
0031: 651352;
0018: 598954;
0092: 656094;
0096: 657099;
0027: 682603;
0044: 808848;
0052: 629244;
0004: 651710;
0068: 738779;
0056: 782131;
0003: 660526;
0070: 666891;
0002: 612810;
0049: 704478;
0035: 643671;
0065: 849515;
0021: 661964;
0028: 582242;
0069: 679706;
0050: 657404;
0010: 598365;
0025: 646087;
0032: 614725;
0080: 598453;
0036: 665416;
0022: 644525;
0015: 617822;
0012: 764426;
0045: 764662;
0063: 745142;
0033: 689018;
0078: 687656;
0075: 629053;
0013: 732341;
0084: 926821;
0071: 732006;
0085: 583800;
0059: 709218;
0043: 722482;
0054: 717157;
0097: 721166;
0077: 638021;
0019: 741962;
0055: 725066;
0048: 739735;
0094: 683506;
0060: 589657;
0005: 572459;
0006: 686248;
0026: 748363;
0062: 552258;
0088: 666740;
0009: 727484;
0076: 667504;
0093: 715646;
0064: 665793;
0016: 696638;

SCORE: 68672734
