0081: 2106967; 0, 46060000, 1301600, 999;
0066: 9361; 15, 372000000, 3789600, 2952;
0047: 563213; 0, 174000000, 3453000, 2667;
0073: 1; 77, 358000000, 3130800, 2391;
0090: 116867; 10, 88000000, 3777500, 2970;
0099: 8702030; 0, 10668672, 722900, 556;
0034: 175863755; 0, 23422, 445200, 401;
0083: 167280; 0, 588000000, 9702000, 8720;
0039: 624262; 0, 156000000, 4089200, 3156;
0089: 2527899; 0, 38864448, 594100, 534;
0058: 26553; 8, 622000000, 9757800, 8766;
0029: 5391214; 0, 17885000, 563700, 507;
0053: 170657; 0, 576000000, 9872000, 8840;
0030: 29047594; 0, 2595726, 746900, 664;
0086: 164455; 0, 598000000, 9969300, 8968;
0042: 4658097; 0, 20575296, 792700, 601;
0014: 456155; 0, 216000000, 3124000, 2372;
0087: 55; 47, 48000000, 2590400, 2004;
0040: 8544; 12, 794000000, 10287200, 9240;
0041: 52404365; 0, 1198638, 609600, 480;
0061: 25468883; 0, 2540160, 1286200, 997;
0072: 1262518; 1, 62368866, 896600, 691;
0008: 1; 61, 310000000, 3701200, 2792;
0038: 36454; 18, 46000000, 3317200, 2564;
0057: 666481; 1, 116000000, 3933600, 3036;
0020: 1329200; 0, 73942470, 1190800, 929;
0046: 4; 61, 36000000, 3095400, 2442;
0051: 556040; 0, 176000000, 3743200, 2896;
0023: 31844011; 0, 2283008, 757300, 665;
0095: 588244; 0, 166000000, 3897600, 2916;
0067: 31; 40, 432000000, 3063200, 2348;
0098: 10; 48, 236000000, 2638200, 2034;
0082: 31762367; 0, 2460780, 587600, 528;
0074: 1520718; 0, 65177546, 480900, 432;
0024: 30; 45, 144000000, 3005000, 2305;
0007: 2717393; 0, 36197280, 502700, 452;
0000: 1971538; 0, 49914144, 707700, 636;
0001: 205220; 0, 482000000, 5183500, 4046;
0037: 44; 50, 30000000, 2796900, 2190;
0079: 37025683; 0, 2032128, 568700, 510;
0091: 998140; 0, 96000000, 4086400, 3096;
0011: 540109; 0, 184534686, 513200, 461;
0017: 2722164; 0, 35363790, 1271700, 966;
0031: 947175; 0, 102000000, 3477200, 2692;
0018: 5607881; 0, 17211250, 520800, 469;
0092: 364; 37, 68000000, 3297300, 2589;
0096: 7; 49, 254000000, 2955200, 2268;
0027: 1790242; 0, 52000000, 3758400, 2970;
0044: 1; 58, 308000000, 3189200, 2436;
0052: 74207; 3, 680000000, 9865100, 8874;
0004: 2813; 20, 406000000, 3841200, 2988;
0068: 14947; 23, 36000000, 3392700, 2610;
0056: 816349; 0, 121522842, 873900, 673;
0003: 114448952; 0, 374752, 399000, 363;
0070: 37; 43, 182000000, 3733000, 2820;
0002: 316875; 3, 158000000, 3478200, 2622;
0049: 11856951; 0, 7493472, 840400, 651;
0035: 43647; 12, 154000000, 3345500, 2605;
0065: 48334; 5, 674000000, 3856800, 2934;
0021: 490869; 4, 80000000, 3344000, 2705;
0028: 77060; 8, 214000000, 3618800, 2852;
0069: 1; 58, 528000000, 3485600, 2676;
0050: 286300; 0, 346000000, 3185100, 2463;
0010: 111054844; 0, 21756, 778700, 634;
0025: 286; 41, 34000000, 3088000, 2505;
0032: 163956; 0, 600000000, 9820000, 8840;
0080: 151015; 0, 652000000, 10086100, 9061;
0036: 10493607; 0, 8755712, 673900, 604;
0022: 390989; 0, 252000000, 3662000, 2810;
0015: 128126; 0, 770000000, 10384500, 9300;
0012: 15024942; 0, 5635000, 920600, 706;
0045: 2; 64, 32000000, 2731800, 2142;
0063: 301582; 1, 264006512, 1161900, 879;
0033: 139534; 2, 448000000, 10570500, 9612;
0078: 27305; 10, 390000000, 3145500, 2415;
0075: 13180; 17, 168000000, 2760000, 2154;
0013: 117406169; 0, 37044, 714700, 641;
0084: 288890; 0, 342000000, 4053500, 3095;
0071: 188093; 0, 530882660, 670600, 602;
0085: 2182668; 0, 42000000, 3715500, 2931;
0059: 85; 43, 78000000, 2892800, 2276;
0043: 3746357; 0, 25401600, 1191000, 937;
0054: 169464; 0, 580000000, 9998000, 8980;
0097: 964; 25, 388000000, 4042000, 3124;
0077: 545808; 0, 181962774, 1151900, 874;
0019: 190976; 0, 514000000, 9527700, 8568;
0055: 95963396; 0, 232064, 710000, 560;
0048: 2875059; 0, 33320000, 1361900, 1084;
0094: 191652; 0, 512000000, 9680000, 8720;
0060: 108; 33, 586000000, 3403800, 2619;
0005: 25; 41, 430000000, 3341400, 2559;
0006: 1; 70, 348000000, 2782800, 2118;
0026: 76; 45, 54000000, 3347600, 2612;
0062: 139329; 1, 564000000, 10084000, 9040;
0088: 106450020; 0, 24108, 815300, 648;
0009: 2895094; 0, 30000000, 4441200, 3630;
0076: 20162754; 0, 3888640, 971000, 754;
0093: 261963; 6, 96000000, 3969300, 3102;
0064: 4207; 27, 54000000, 3383600, 2728;
0016: 1287335; 1, 61082910, 961000, 750;

TOTAL_SCORE: 1053887480
AVELAGE_SCOR: 10538874
AVELAGE_WA_CNT: 12
AVELAGE_P_COST: 209825391
AVELAGE_M_COST: 3419958
AVELAGE_M_CNT: 2835
TOTAL_EXP_SCORE: 43760203.87257180459886514409
