Parallel execution: 10
0081: 0066: 0047: 0073: 0090: 0099: 0034: 0083: 0039: 0089: 0058: 0029: 0053: 0030: 0086: 0042: 0014: 0087: 0040: 0041: 0061: 0072: 0008: 0038: 0057: 0020: 0046: 0051: 0023: 0095: 0067: 0098: 0082: 0074: 0024: 0007: 0000: 0001: 0037: 0079: 0091: 0011: 0017: 0031: 0018: 0092: 0096: 0027: 0044: 0052: 0004: 0068: 0056: 0003: 0070: 0002: 0049: 0035: 0065: 0021: 0028: 0069: 0050: 0010: 0025: 0032: 0080: 0036: 0022: 0015: 0012: 0045: 0063: 0033: 0078: 0075: 0013: 0084: 0071: 0085: 0059: 0043: 0054: 0097: 0077: 0019: 0055: 0048: 0094: 0060: 0005: 0006: 0026: 0062: 0088: 0009: 0076: 0093: 0064: 0016: 
0081: 145;
0066: 127;
0047: 161;
0073: 129;
0090: 148;
0099: 135;
0034: 132;
0083: 121;
0039: 144;
0089: 146;
0058: 114;
0029: 118;
0053: 146;
0030: 134;
0086: 138;
0042: 118;
0014: 116;
0087: 128;
0040: 124;
0041: 148;
0061: 152;
0072: 114;
0008: 140;
0038: 108;
0057: 131;
0020: 160;
0046: 109;
0051: 124;
0023: 102;
0095: 119;
0067: 115;
0098: 138;
0082: 169;
0074: 139;
0024: 123;
0007: 132;
0000: 154;
0001: 153;
0037: 118;
0079: 137;
0091: 143;
0011: 148;
0017: 124;
0031: 115;
0018: 147;
0092: 124;
0096: 140;
0027: 156;
0044: 130;
0052: 124;
0004: 138;
0068: 116;
0056: 114;
0003: 147;
0070: 174;
0002: 150;
0049: 157;
0035: 157;
0065: 114;
0021: 127;
0028: 125;
0069: 129;
0050: 133;
0010: 140;
0025: 112;
0032: 153;
0080: 140;
0036: 117;
0022: 134;
0015: 114;
0012: 126;
0045: 130;
0063: 122;
0033: 125;
0078: 141;
0075: 111;
0013: 115;
0084: 131;
0071: 141;
0085: 133;
0059: 136;
0043: 150;
0054: 128;
0097: 137;
0077: 141;
0019: 106;
0055: 153;
0048: 139;
0094: 132;
0060: 144;
0005: 136;
0006: 151;
0026: 124;
0062: 111;
0088: 150;
0009: 146;
0076: 143;
0093: 123;
0064: 120;
0016: 118;

SCORE: 13314
LOG_SCORE: 100478.44984894112620596520
