0081: 230;
0066: 218;
0047: 234;
0073: 188;
0090: 211;
0099: 211;
0034: 205;
0083: 202;
0039: 213;
0089: 213;
0058: 209;
0029: 204;
0053: 238;
0030: 188;
0086: 211;
0042: 205;
0014: 207;
0087: 222;
0040: 203;
0041: 227;
0061: 214;
0072: 205;
0008: 209;
0038: 202;
0057: 207;
0020: 223;
0046: 199;
0051: 271;
0023: 187;
0095: 210;
0067: 191;
0098: 271;
0082: 235;
0074: 215;
0024: 195;
0007: 237;
0000: 234;
0001: 221;
0037: 220;
0079: 210;
0091: 213;
0011: 216;
0017: 204;
0031: 204;
0018: 209;
0092: 215;
0096: 218;
0027: 228;
0044: 211;
0052: 203;
0004: 202;
0068: 206;
0056: 194;
0003: 211;
0070: 227;
0002: 210;
0049: 223;
0035: 209;
0065: 196;
0021: 213;
0028: 206;
0069: 204;
0050: 225;
0010: 229;
0025: 203;
0032: 211;
0080: 210;
0036: 207;
0022: 210;
0015: 207;
0012: 212;
0045: 209;
0063: 210;
0033: 215;
0078: 220;
0075: 209;
0013: 199;
0084: 205;
0071: 224;
0085: 213;
0059: 205;
0043: 288;
0054: 206;
0097: 212;
0077: 209;
0019: 197;
0055: 219;
0048: 207;
0094: 198;
0060: 209;
0005: 207;
0006: 221;
0026: 205;
0062: 177;
0088: 214;
0009: 211;
0076: 226;
0093: 208;
0064: 194;
0016: 200;

SCORE: 21248
LOG_SCORE: 100531.47650201109714947070
